ruta_relativa,nombre,extension,tipo,corpus_inferido,tamano_bytes,tamano_humano,modificado,sha256,hash_omitido
convertir_corpus.py,convertir_corpus.py,.py,codigo,sin_clasificar,2152,2.1 KB,2026-04-03T18:31:38,a6bddb68376d9ba43717dd431cc55b43536240b2f3f920e9b19ea0df1225dc6e,False
convertir_corpus_b.py,convertir_corpus_b.py,.py,codigo,sin_clasificar,1467,1.4 KB,2026-04-02T20:56:55,dfede9974f6f3d6f0b7c49da13c25c38fafc1d57abe79564d951397087b46e3a,False
corpus_b_inventario.txt,corpus_b_inventario.txt,.txt,texto,sin_clasificar,450,450 B,2026-04-11T21:34:06,a2e840b80fca4e010120aad32c9f1c28812510a2ccb8c89bbd6f803ae928e2da,False
corpus_c_videos.txt,corpus_c_videos.txt,.txt,texto,sin_clasificar,745,745 B,2026-04-04T22:40:10,49f48b6232c1d0ff7a04bc583e5d9b774cc7313ecfa60ca65742f0cb019017b3,False
descargar_corpus_b.py,descargar_corpus_b.py,.py,codigo,sin_clasificar,2951,2.9 KB,2026-04-02T22:06:06,e19e3e892a9087bf5302c30752bb5b5294cd6f2f76a0279fb93fa269c169e894,False
diagnostico_corpus_a.py,diagnostico_corpus_a.py,.py,codigo,sin_clasificar,608,608 B,2026-04-04T07:45:09,82e9027c7e5a92f993eb23a460e13f2c3f2ecb5f8110f888299d017bd17fad31,False
indicators_corpus_c.csv,indicators_corpus_c.csv,.csv,datos_tabular,sin_clasificar,71360,69.7 KB,2026-04-12T16:53:50,f24ba7feee87af1e0ed74ef9f691ceeeb96be9775011103d63a151aa024f588b,False
indicators_final_completo.csv,indicators_final_completo.csv,.csv,datos_tabular,sin_clasificar,248738,242.9 KB,2026-04-05T19:23:21,32afa627be9ea2f8c4d75e9189526f2b7a9642daefc4b9c3a0ce61ab3db420f1,False
ocr_auto005.py,ocr_auto005.py,.py,codigo,sin_clasificar,989,989 B,2026-04-02T21:15:14,7dfc4075eb69e2d89f797380366b002c8c176291ffbe0da4af7eeaa2ac4ef590,False
preparar_anotacion.py,preparar_anotacion.py,.py,codigo,sin_clasificar,8121,7.9 KB,2026-04-04T11:00:47,3761b5b38b0a3d5c4cfe1ecea8c624a33dcdbaf3a5e6c00f4d3644e48597ffb3,False
probar_pipeline.py,probar_pipeline.py,.py,codigo,sin_clasificar,742,742 B,2026-04-02T20:17:54,5435712d684a22c9c9cc982c1fa5a9b110e49dfe2ab21ee8c858f18fc003ed85,False
procesar_corpus_a.py,procesar_corpus_a.py,.py,codigo,sin_clasificar,1023,1023 B,2026-04-02T20:31:32,b5a5a4a40a2ce0e429b1f866f92e5f3ff1faec9a365a05ea1084f8867f7e0db7,False
procesar_corpus_b.py,procesar_corpus_b.py,.py,codigo,sin_clasificar,1280,1.2 KB,2026-04-02T22:02:35,9394207d0ff0c3fe6682869b6d3734ec14a233a832e2a11c055b38e4512d53d1,False
README.md,README.md,.md,texto,sin_clasificar,4344,4.2 KB,2026-03-27T21:37:33,481d7acc22d60b4c498c6d926285f200ee13570a4adc7740b308cae2912ea83a,False
resultados_conflibert.txt,resultados_conflibert.txt,.txt,texto,sin_clasificar,203,203 B,2026-04-05T16:09:47,6d42db094d2ea475cdcb5e975ce89bf0505516c6faa483ebdef54af7d8a8902d,False
resultados_control_temporal.txt,resultados_control_temporal.txt,.txt,texto,sin_clasificar,468,468 B,2026-04-06T13:11:34,30ba5261b988fb3bd1c33865b6bac1a3f8605dceb452df4da4763f8791d37375,False
resumen_modelos_sem.txt,resumen_modelos_sem.txt,.txt,texto,sin_clasificar,2004,2.0 KB,2026-04-06T13:38:06,10ab64f2233eed477028a6519a1001b2b384dfa8a925cdcff8ef36525d448ad3,False
run_features.py,run_features.py,.py,codigo,sin_clasificar,1870,1.8 KB,2026-04-03T22:38:22,45232273ae3b6fc2a1384bc458c6e88330dd5662d90b313be1aafbe3fabd7027,False
run_sem.py,run_sem.py,.py,codigo,sin_clasificar,1944,1.9 KB,2026-04-04T10:36:44,f53c1ff80d24b87eb7640ef51d2f23803252b5835b72b0d6db399e6ced3a5090,False
ver_secciones_b.py,ver_secciones_b.py,.py,codigo,sin_clasificar,690,690 B,2026-04-02T22:01:28,06cdacd54f12bf4f3b1b103be63c1f8f6b2b8d34bad5d8f11e8e45e574ee5a61,False
ver_texto_b.py,ver_texto_b.py,.py,codigo,sin_clasificar,790,790 B,2026-04-02T21:49:24,c415a7aafce7ce43fde7bc61a558abaa9eaee6fae04c56ffabb1619daf7fcc6d,False
ver_texto_pipeline_b.py,ver_texto_pipeline_b.py,.py,codigo,sin_clasificar,819,819 B,2026-04-02T21:54:32,846186f6741e8dfdca83eaecd039c288f0a7c081cafacb48acfc53e846acdbb2,False
youtube_cookies.txt,youtube_cookies.txt,.txt,texto,sin_clasificar,814,814 B,2026-04-14T13:18:18,28d9ebd9180a6b22e2fd4fd477d697331f2f952a16c4c44ce1944b61dc216872,False
code/pipeline.py,pipeline.py,.py,codigo,sin_clasificar,13776,13.5 KB,2026-03-26T15:41:00,e09a6de55744dfb96d3bc31d54d20a4dd424f843ea28bc8676dfd257c544e08a,False
code/notebooks/CFH_eGeMAPS_Vocal_Colab.ipynb,CFH_eGeMAPS_Vocal_Colab.ipynb,.ipynb,notebook,sin_clasificar,12367,12.1 KB,2026-04-26T17:21:55,4a6d55828c76f9edc6e674535761406f50aa13e2c7ccb38989532fcf9c72eec1,False
code/src/analisis_corpus_c.py,analisis_corpus_c.py,.py,codigo,sin_clasificar,10045,9.8 KB,2026-04-05T20:42:02,eb2a8997099a4339bd64af27aa041d9bbab8119ad152da2a4eb17683b1d5af8c,False
code/src/calcular_icm.py,calcular_icm.py,.py,codigo,sin_clasificar,17292,16.9 KB,2026-04-11T20:35:55,874644f7b53e2a7a6678be1076adb8c5c70aa64d8c071cc96cd6967cb4e0a9aa,False
code/src/centroides_expandidos.py,centroides_expandidos.py,.py,codigo,sin_clasificar,14040,13.7 KB,2026-04-05T20:49:29,525acc07f07918d49a25a99e4cb86550337e61d11cf9174e4877b5379f6b2e43,False
code/src/cfh_bert_v2.py,cfh_bert_v2.py,.py,codigo,sin_clasificar,9365,9.1 KB,2026-04-05T13:15:55,f18c3de451f8e5bcd090f7fa5cfcb3ca1cf05601bf920e39dd31b81309b9afae,False
code/src/features_capa1_nuevos.py,features_capa1_nuevos.py,.py,codigo,sin_clasificar,13952,13.6 KB,2026-04-11T20:56:49,958eb3e9a9b2cb6b6f8a0ff67764f3e1531e9a2235dfa41e781e83d1544d5462,False
code/src/ingest_corpus_b.py,ingest_corpus_b.py,.py,codigo,sin_clasificar,11745,11.5 KB,2026-04-11T14:15:10,157e8f05a5ff59a432567abc9ddbeb4038ca594cd7553aaeae4f52167baffcf8,False
code/src/visualizacion_embeddings.py,visualizacion_embeddings.py,.py,codigo,sin_clasificar,11762,11.5 KB,2026-04-11T15:11:32,c27022a62a3a4b942d9206488cf7499b794856a81d640e89f514b37ab67d7b17,False
code/src/features/context_extractor.py,context_extractor.py,.py,codigo,sin_clasificar,18221,17.8 KB,2026-04-03T21:23:13,b4a6d0f4350539cd3696202ed297f9e50bf083a74418d24743f53f7ed9a6d970,False
code/src/features/feature_pipeline.py,feature_pipeline.py,.py,codigo,sin_clasificar,21962,21.4 KB,2026-04-04T07:46:25,4709a13cbcb1aa5b2dc4bc4608ec01d1284cb51da37c7b850b46e0b46e9a204f,False
code/src/features/y10_rep_extractor.py,y10_rep_extractor.py,.py,codigo,sin_clasificar,24588,24.0 KB,2026-04-03T21:13:48,bd1d30aef626fcd17c036c1d06839e45d2abd2a431f0ca37074beea60f8aecf1,False
code/src/features/y1_ebi_extractor.py,y1_ebi_extractor.py,.py,codigo,sin_clasificar,34908,34.1 KB,2026-04-02T16:43:39,55a64ed043393e04f6fd97ecbd631c197a0d1921da654af7d4c98267ba66a04a,False
code/src/features/y2_sa_extractor.py,y2_sa_extractor.py,.py,codigo,sin_clasificar,34290,33.5 KB,2026-04-03T20:56:19,3164772d50260562816f55545083ac44ee7fd5363d90535a7dcdeeebb5ece906,False
code/src/features/y3_civil_extractor.py,y3_civil_extractor.py,.py,codigo,sin_clasificar,18830,18.4 KB,2026-04-03T21:45:54,b87a1c31b646023639dc83b16c96e69c3e56e1322013a17921e33c34a7fa3aa6,False
code/src/features/y4_nv_extractor.py,y4_nv_extractor.py,.py,codigo,sin_clasificar,29203,28.5 KB,2026-04-03T21:06:16,f5e1fe70738b5c6a76190d4575e37a31a47a25b829070c42d37d02bb9d00ab1e,False
code/src/ingestion/cleaner.py,cleaner.py,.py,codigo,sin_clasificar,12086,11.8 KB,2026-04-02T16:43:39,c779cd6c802dc8d008b35b2064b3d5528da152134f16f061edd9eabf99593f92,False
code/src/ingestion/metadata.py,metadata.py,.py,codigo,sin_clasificar,30557,29.8 KB,2026-04-03T18:29:18,4e6c045330bf428c41943a32f1f65d498b7d0f25f25cd8238b1f59f804c5a76f,False
code/src/ingestion/pipeline.py,pipeline.py,.py,codigo,sin_clasificar,14195,13.9 KB,2026-04-25T19:17:48,8b9a60ca4234213ab87d4ab3120a21ecbbfd4e1550268fe8156fa7c190dae8c4,False
code/src/ingestion/segmenter.py,segmenter.py,.py,codigo,sin_clasificar,18431,18.0 KB,2026-04-03T18:39:12,dacade846d0b3abf52e84fea6e48ed21f539c24f1292dfa2e0bebf90a266052a,False
code/src/ingestion/segmenter_v2.py,segmenter_v2.py,.py,codigo,sin_clasificar,17742,17.3 KB,2026-04-02T21:38:28,ba145c63a4473972ee4806acd91a6cf500fdc4f18fe50ff4755c3fe882ffc791,False
code/src/ingestion/__init__.py,__init__.py,.py,codigo,sin_clasificar,628,628 B,2026-04-02T16:43:39,f2438b7a51a63baa5dee73ab5e8a727728b1eed5f273f545e38069e01314afa4,False
code/src/sem/sem_model.py,sem_model.py,.py,codigo,sin_clasificar,21434,20.9 KB,2026-04-04T10:03:00,0abb0fa19273a2e7503ed5673a3623d9e4cb42395f77f9628fe95ff661c4bafe,False
code/tests/test_context.py,test_context.py,.py,codigo,sin_clasificar,10193,10.0 KB,2026-04-03T21:26:20,df5afd5764280d94c13775a13b3cb5c42fb666e7fa802d393769d16756224108,False
code/tests/test_feature_pipeline.py,test_feature_pipeline.py,.py,codigo,sin_clasificar,9022,8.8 KB,2026-04-03T22:27:17,5f05235805c990d8c5625d146d83669beed9f3b822b1897b3204c0062a9039d4,False
code/tests/test_ingestion.py,test_ingestion.py,.py,codigo,sin_clasificar,20530,20.0 KB,2026-04-02T16:43:39,7e2b05c7d6d9135b44b2bb12ba608cacc5b43a8cc3f43fb2ee23708570ab1ae4,False
code/tests/test_sem_model.py,test_sem_model.py,.py,codigo,sin_clasificar,7058,6.9 KB,2026-04-04T10:00:07,9c46905a3b11b7500433f42828d7ec3e552dbd2ac38704f2ec062b4704b01345,False
code/tests/test_y10_rep.py,test_y10_rep.py,.py,codigo,sin_clasificar,7667,7.5 KB,2026-04-03T21:15:16,44822c4163188937884c4b0b9683ac5fb7b070c2264a25ea3f98a5075d880095,False
code/tests/test_y1_ebi.py,test_y1_ebi.py,.py,codigo,sin_clasificar,29762,29.1 KB,2026-04-02T16:43:39,0f24d3101f3dd56b0e5a8a7f5397fef9771ea46b1304355ded76e17158b6a04b,False
code/tests/test_y2_sa.py,test_y2_sa.py,.py,codigo,sin_clasificar,8950,8.7 KB,2026-04-03T20:46:20,f16b7ae73fc08a2245382f6b0f9e05363fb25a1ba81180e9f7621d943b7bedb4,False
code/tests/test_y3_civil.py,test_y3_civil.py,.py,codigo,sin_clasificar,6224,6.1 KB,2026-04-03T21:49:29,df6451425803d9155a475e5eb30a89c13c49a64f63d3d8e79a8b358339901c07,False
code/tests/test_y4_nv.py,test_y4_nv.py,.py,codigo,sin_clasificar,6493,6.3 KB,2026-04-03T21:07:08,93ed8230a44c4c77550e666dd8a63c9ab2e94d11ddab429628311896b2323d73,False
configs/model_config.yaml,model_config.yaml,.yaml,datos_estructurado,sin_clasificar,938,938 B,2026-04-02T16:43:39,5dbc810c2252f222ec7f0ae368ee7d3c1edad7f0ebe5dae12164cee1be17c04f,False
configs/paths.yaml,paths.yaml,.yaml,datos_estructurado,sin_clasificar,1232,1.2 KB,2026-04-02T16:43:39,ab78b82190d4541e1ca7c0fbd5ef1312a1d4fec30ca11073fc0bdf7ddb963755,False
configs/sem_config.yaml,sem_config.yaml,.yaml,datos_estructurado,sin_clasificar,573,573 B,2026-04-02T16:43:39,f40d416bafce701375e4ddb249ca9b2cb996997e1c089b02672cb73f1c3e28b3,False
corpus_c/casanare_torres.mp3,casanare_torres.mp3,.mp3,audio,C-JEP-oral,379602069,362.0 MB,2026-04-05T17:28:51,,True
corpus_c/casanare_torres.txt,casanare_torres.txt,.txt,texto,C-JEP-oral,253353,247.4 KB,2026-04-12T17:26:53,03dba44c947adff399a1eaf9bb3ac1b1db5024b477f6eeca3c7022a1a64a3b31,False
corpus_c/casanare_torres_diarization.json,casanare_torres_diarization.json,.json,datos_json,C-JEP-oral,147890,144.4 KB,2026-04-11T09:40:14,9bec2c522c9c4ab408c61225eeb8847f6c6c9ecbc857fbebffc54607f246fb6f,False
corpus_c/casanare_torres_segments.json,casanare_torres_segments.json,.json,datos_json,C-JEP-oral,2781817,2.7 MB,2026-04-05T17:28:33,e88978235c637f0f782cca260d07b347d69e92a884246145aa0e095c3ca2570c,False
corpus_c/Caso 03： Audiencia de Reconocimiento por 'falsos positivos' en el Catatumbo.mp3,Caso 03： Audiencia de Reconocimiento por 'falsos positivos' en el Catatumbo.mp3,.mp3,audio,C-JEP-oral,863445285,823.4 MB,2026-04-05T17:28:41,,True
corpus_c/catatumbo.txt,catatumbo.txt,.txt,texto,C-JEP-oral,17997,17.6 KB,2026-04-12T17:25:39,5e035291fe2738065ba64efceae53a0c0e2a82cc1ce35f9d4637c8d92fb683d4,False
corpus_c/catatumbo_audiencia_reconocimiento.txt,catatumbo_audiencia_reconocimiento.txt,.txt,texto,C-JEP-oral,117520,114.8 KB,2026-04-05T17:28:33,ae37ac0aee2c3ce4bfec6d4dc937469a8487f9e5f5d1b2baa953cc34340c1c20,False
corpus_c/catatumbo_audiencia_reconocimiento_segments.json,catatumbo_audiencia_reconocimiento_segments.json,.json,datos_json,C-JEP-oral,3403070,3.2 MB,2026-04-05T17:28:33,ff97e44afe6855ae6de23de810394e76f2636e2567f374a98c13bbd60749739f,False
corpus_c/catatumbo_diarization.json,catatumbo_diarization.json,.json,datos_json,C-JEP-oral,537880,525.3 KB,2026-04-11T16:26:33,d2d8a1dbd522ac7add6be506c8a561064e875ca0c24aafa687a6f84659befc26,False
corpus_c/costa_caribe.mp3,costa_caribe.mp3,.mp3,audio,C-JEP-oral,791256621,754.6 MB,2026-04-05T17:28:59,,True
corpus_c/costa_caribe.txt,costa_caribe.txt,.txt,texto,C-JEP-oral,260336,254.2 KB,2026-04-12T17:26:53,4cfd7bb173904d675d3c1bf305c0c5b470a8ff28e437677de5503b5389f2424e,False
corpus_c/costa_caribe_diarization.json,costa_caribe_diarization.json,.json,datos_json,C-JEP-oral,267638,261.4 KB,2026-04-11T19:39:57,5f92a666b32a43cf56a0ae122a4bdd53c5930b362f5dbaae90b8d36388d4f6bc,False
corpus_c/costa_caribe_segments.json,costa_caribe_segments.json,.json,datos_json,C-JEP-oral,2410534,2.3 MB,2026-04-05T17:28:59,9ee0947e380de8aef1501d08f1346f9d9773f7e2f7c8ba980eb1834ee208773a,False
corpus_c/dabeiba_antioquia.mp3,dabeiba_antioquia.mp3,.mp3,audio,C-JEP-oral,657545637,627.1 MB,2026-04-05T17:28:48,,True
corpus_c/dabeiba_antioquia.txt,dabeiba_antioquia.txt,.txt,texto,C-JEP-oral,291825,285.0 KB,2026-04-12T17:26:53,d0d87d1ce43cd1f7b005b39e4dfbae6251f67acaf2499ebfdf169e3d8db8d096,False
corpus_c/dabeiba_antioquia_diarization.json,dabeiba_antioquia_diarization.json,.json,datos_json,C-JEP-oral,210986,206.0 KB,2026-04-11T20:02:32,45e62e58896a80333f98cf109c6298b78b7512bc1b6b8672ce056ceef5d51f65,False
corpus_c/dabeiba_antioquia_segments.json,dabeiba_antioquia_segments.json,.json,datos_json,C-JEP-oral,2513863,2.4 MB,2026-04-05T17:29:05,9f3a55418f901aff4dce6592ba9fefd7ab563cd23d7a092fcb43528099ce79df,False
corpus_c/huila.mp3,huila.mp3,.mp3,audio,C-JEP-oral,721314045,687.9 MB,2026-04-05T17:29:05,,True
corpus_c/huila.txt,huila.txt,.txt,texto,C-JEP-oral,273055,266.7 KB,2026-04-12T17:26:53,fae03abbbf0a9ac82f0d108d91515d3d60240ae9b39337006adf16e011be265b,False
corpus_c/huila_diarization.json,huila_diarization.json,.json,datos_json,C-JEP-oral,745821,728.3 KB,2026-04-11T21:13:22,bbf3423d53a0406d5585211460d97f94a609c5334d6411d7dc7c5147bfa34809,False
corpus_c/huila_segments.json,huila_segments.json,.json,datos_json,C-JEP-oral,2349449,2.2 MB,2026-04-05T17:28:48,b6d814563018c86d59e4c0493b9a23fbf1fe43586d33a60cbe7388e6a1c71c67,False
corpus_c/README.txt,README.txt,.txt,texto,sin_clasificar,309,309 B,2026-04-07T18:17:27,e125a5dee25ee4784d6c1ffa76842fdfa10044a4abbebd9dcdb074c5bc57af7c,False
corpus_c/videos/costa_caribe_video.mp4.part,costa_caribe_video.mp4.part,.part,otro,C-JEP-oral,18569374,17.7 MB,2026-04-14T13:18:09,15d820874cc3236919c2f3925fffb514ae39cc61f99668b332106947ac83cd0b,False
data/CFH_Inventario_Completo_DatosReales_Sprint1.docx,CFH_Inventario_Completo_DatosReales_Sprint1.docx,.docx,documento,sin_clasificar,15281,14.9 KB,2026-04-22T22:17:16,fa9b494b6c09f6fedd6c97c01c110b8586b9bc1a341ba6044a33e753c12adcc5,False
data/CFH_Inventario_DatosReales_v2_Sprint1.docx,CFH_Inventario_DatosReales_v2_Sprint1.docx,.docx,documento,sin_clasificar,22474,21.9 KB,2026-04-22T22:25:50,cec1a7260f97d135267c5ef47c49dceb25d59c1bcafcd26f6ea2f4f054d906a0,False
data/corpus_b_index.txt,corpus_b_index.txt,.txt,texto,sin_clasificar,853,853 B,2026-04-25T19:02:29,b51d7f1e4d951b064d5e423c54a8e690efda48baf5e2fdd47d1420d639eefcd2,False
data/corpus_b_processed_index.txt,corpus_b_processed_index.txt,.txt,texto,sin_clasificar,644,644 B,2026-04-25T19:11:23,7d33a65bf755ba45453bd7b790ea50282d829b4f0bdc411a04993fcc6ea9d025,False
data/dis_iei_corpus_c.csv,dis_iei_corpus_c.csv,.csv,datos_tabular,sin_clasificar,1137,1.1 KB,2026-05-08T06:57:24,853dcf478ef559a95d838e14da52131ed2fbe3458e953515aeeb1c7cda92e4fb,False
data/features_index.txt,features_index.txt,.txt,texto,sin_clasificar,193,193 B,2026-04-25T19:47:16,00c5457fddfcc76434ce9d8fea20203332314a3b46cc737ccaf5cfa5bf5134c7,False
data/IAA_anotaciones_mireya.csv,IAA_anotaciones_mireya.csv,.csv,datos_tabular,sin_clasificar,1882,1.8 KB,2026-05-08T09:07:33,8a97016b777fd102cb73831df22f235bff8ff3f0cb21bd7411b24d6ef1c74aa7,False
data/IAA_segundo_anotador.xlsx,IAA_segundo_anotador.xlsx,.xlsx,datos_tabular,sin_clasificar,24142,23.6 KB,2026-05-08T09:07:33,9698a4d0b84b5e4a61c66f82500d047814155007c1ba38aefbbead8abab41d34,False
data/indicators_corpus_c_capa1.csv,indicators_corpus_c_capa1.csv,.csv,datos_tabular,sin_clasificar,52255,51.0 KB,2026-04-26T20:10:19,7e6c77185379872ae7acea6ae412373cb174eb59b350906fa356742d31166fc5,False
data/indicators_corpus_c_completo.csv,indicators_corpus_c_completo.csv,.csv,datos_tabular,sin_clasificar,819,819 B,2026-04-26T21:41:56,e9dc3cc6f635533f19e7af6bd328f437baf57257d4f7e5309cb72cf1679d1707,False
data/indicators_y11_y12_y13.csv,indicators_y11_y12_y13.csv,.csv,datos_tabular,sin_clasificar,108020,105.5 KB,2026-05-08T07:49:22,d4f1801f14695420ed73511d012cc700e9bfa452cb3f717865f248f7165aefb0,False
data/inventario_documentos_completo.csv,inventario_documentos_completo.csv,.csv,datos_tabular,sin_clasificar,83609,81.6 KB,2026-04-22T22:09:37,fb0b925537c44197dc5012c8f1fa012145c5cb17b85a95963809af8a2da5aaff,False
data/inventario_documentos_completo_v2.csv,inventario_documentos_completo_v2.csv,.csv,datos_tabular,sin_clasificar,77422,75.6 KB,2026-04-26T17:07:41,e5e0a8dbb61b30ebb17f0939233fcf9bd37507525a8f93392d9ec391442399d9,False
data/metadata_corpus_a.csv,metadata_corpus_a.csv,.csv,datos_tabular,sin_clasificar,42977,42.0 KB,2026-04-22T21:41:56,f7d688216e81b704232c2d7e63855d6b60898573676f15aedbd5c80d053b8ea4,False
data/metadata_corpus_b.csv,metadata_corpus_b.csv,.csv,datos_tabular,sin_clasificar,2728,2.7 KB,2026-04-26T07:50:51,585be316591f247de3beedcc8ddcedb3598becdcefb2bfd90913ae95803546fe,False
data/annotations/.env,.env,,otro,sin_clasificar,63,63 B,2026-04-04T10:42:14,74aae13d9c0ad69852aedb255afc4c3843b90848012f72df776321e3e1033134,False
data/annotations/label_studio.sqlite3,label_studio.sqlite3,.sqlite3,otro,sin_clasificar,1667072,1.6 MB,2026-04-04T22:09:07,e4352f143912fd9bcb2bbe4e28304145d6a31d8549cddee12d5e247e244f9a6c,False
data/annotations/label_studio_input.json,label_studio_input.json,.json,datos_json,sin_clasificar,86309,84.3 KB,2026-04-04T11:01:01,bd8c1393f04b836acbc2f4fd2d923534151cf7639f6d6715192018ad5c8686cd,False
data/annotations/project-1-at-2026-04-05-03-12-f83c911a.json,project-1-at-2026-04-05-03-12-f83c911a.json,.json,datos_json,sin_clasificar,182342,178.1 KB,2026-04-04T22:12:18,a55f64c2f2dc55b06996ba8bc9b06b3b8b00f273c797e1b2c42f0833a439e98d,False
data/annotations/export/project-1-at-2026-04-05-03-12-f83c911a-info.json,project-1-at-2026-04-05-03-12-f83c911a-info.json,.json,datos_json,sin_clasificar,436,436 B,2026-04-04T22:12:18,48e3231c058818f46aeb2aa53c792b3fc7b8b13cce606242bc8c387743073846,False
data/annotations/export/project-1-at-2026-04-05-03-12-f83c911a.json,project-1-at-2026-04-05-03-12-f83c911a.json,.json,datos_json,sin_clasificar,272203,265.8 KB,2026-04-04T22:12:18,2871307afb75e0b8930e1c60e03f786312c7d49fe10ea12032de2ad133ab3586,False
data/annotations/export/project-1-at-2026-04-05-14-02-f83c911a-info.json,project-1-at-2026-04-05-14-02-f83c911a-info.json,.json,datos_json,sin_clasificar,436,436 B,2026-04-05T09:02:13,3270863f51737e7c8001b3ca9ba697648925c7a4e7e0d14fe4ab6f6001dffc41,False
data/annotations/export/project-1-at-2026-04-05-14-02-f83c911a.json,project-1-at-2026-04-05-14-02-f83c911a.json,.json,datos_json,sin_clasificar,272203,265.8 KB,2026-04-05T09:02:13,2871307afb75e0b8930e1c60e03f786312c7d49fe10ea12032de2ad133ab3586,False
data/annotations/media/upload/1/2f2378d6-label_studio_input.json,2f2378d6-label_studio_input.json,.json,datos_json,sin_clasificar,86309,84.3 KB,2026-04-04T11:08:07,bd8c1393f04b836acbc2f4fd2d923534151cf7639f6d6715192018ad5c8686cd,False
